,nconst,primaryName,knownForTitles
299,nm0504342,robert lesser,"tt0120685,tt0086837,tt0102603,tt0095016"
300,nm0000134,robert de niro,"tt0070379,tt0075314,tt0081398,tt0101540"
301,nm0000361,brian de palma,"tt0094226,tt0086984,tt0280665,tt0080661"
302,nm0001749,maggie smith,"tt3722070,tt0091867,tt1412386,tt0280707"
303,nm0000092,john cleese,"tt0085959,tt0071853,tt0063929,tt0095159"
304,nm0001037,graham chapman,"tt0085959,tt0071853,tt0063929,tt0079470"
305,nm0001589,michael palin,"tt0071853,tt0095159,tt0085959,tt0081633"
306,nm0536557,charles h. maguire,"tt0101669,tt0105112,tt0047296,tt0054997"
307,nm0496556,john ledford,"tt0107692,tt0095327,tt0308379,tt2591814"
308,nm0000164,anthony hopkins,"tt0412080,tt0975645,tt0102926,tt0212985"
309,nm0001681,george a. romero,"tt0848557,tt0063350,tt0418819,tt0077402"
310,nm0915593,keith wayne,tt0063350
311,nm0096859,natalia borisova,tt0063415
312,nm0000316,mel brooks,"tt0395251,tt0094012,tt0082517,tt0071230"
313,nm0001201,mia farrow,"tt0063522,tt0097123,tt0091167,tt0089853"
314,nm0001115,ossie davis,"tt0097216,tt0281686,tt0109446,tt0107050"
315,nm0847223,isao takahata,"tt2576852,tt0110008,tt0102587,tt0095327"
316,nm0000172,harvey keitel,"tt0110912,tt0105236,tt2278388,tt0103759"
317,nm0001358,hal holbrook,"tt0074119,tt0080749,tt0443272,tt0758758"
318,nm0000416,terry gilliam,"tt1054606,tt0085959,tt0071853,tt0088846"
319,nm0001385,eric idle,"tt0071853,tt0079470,tt0096764,tt0085959"
320,nm0000545,helen mirren,"tt0975645,tt0436697,tt0280707,tt1245526"
321,nm0781517,pete seeger,"tt3169706,tt0109830,tt0270288,tt0093822"
322,nm0001285,elliott gould,"tt0496806,tt0240772,tt0066026,tt0070334"
323,nm0607694,fulvio morsella,"tt0064116,tt0070215,tt0067140,tt0059578"
324,nm0000443,goldie hawn,"tt0093693,tt0104070,tt0116242,tt0116313"
325,nm0552832,nan martin,"tt0093629,tt0162222,tt0092455,tt0256380"
326,nm0415494,stanley r. jaffe,"tt0079417,tt0096933,tt0093010,tt0240510"
327,nm0005368,doris roberts,"tt0115167,tt0097958,tt0456554,tt0072251"
328,nm0574534,ian mcshane,"tt0441773,tt0348914,tt1298650,tt2911666"
329,nm0001117,bruce davison,"tt0108122,tt0115988,tt0120903,tt0290334"
330,nm0001233,robert forster,"tt2302755,tt1033575,tt0166924,tt0119396"
331,nm0089244,verna bloom,"tt0068699,tt0077975,tt0095497,tt0088680"
332,nm0000685,jon voight,"tt0089941,tt0064665,tt0068473,tt0118615"
333,nm0714727,otis redding,"tt0092890,tt0485947,tt0092099,tt0098206"
334,nm0004693,lou adler,"tt0073629,tt0090329,tt0086425,tt0078446"
335,nm0000229,steven spielberg,"tt0082971,tt0120815,tt0108052,tt0083866"
336,nm0402597,peter r. hunt,"tt0058150,tt0062512,tt0055928,tt0064757"
337,nm0307255,allen garfield,"tt0268995,tt0073440,tt0092644,tt0142688"
338,nm0176073,michael constantine,"tt0054997,tt0117894,tt0259446,tt3760922"
339,nm0000343,david cronenberg,"tt0094964,tt0115964,tt0120907,tt0091064"
340,nm0423618,charles h. joffe,"tt0075686,tt0079522,tt0416320,tt0070707"
341,nm0005563,irwin winkler,"tt3076658,tt0075148,tt0099685,tt0264796"
342,nm0153590,robert chartoff,"tt3076658,tt0081398,tt0075148,tt0086197"
343,nm0006893,john vernon,"tt0095444,tt0075029,tt0077975,tt0066999"
344,nm0271403,stuart fell,"tt0090056,tt0096446,tt0090605,tt0078346"
345,nm0001458,cloris leachman,"tt0072431,tt0371246,tt0481499,tt0067328"
346,nm0000414,teri garr,"tt0088680,tt0084805,tt0072431,tt0075860"
347,nm0001740,o.j. simpson,"tt0110622,tt0072308,tt0102510,tt0095705"
